Price,Close,High,Low,Open,Volume
Ticker,F,F,F,F,F
Date,,,,,
2010-12-31,9.275626182556152,9.297723611222498,9.17618511927351,9.198282547939856,22417600
2011-01-03,9.529751777648926,9.562898445313992,9.391639433045317,9.402688673504862,70794200
2011-01-04,9.601570129394531,9.75625634107021,9.369541338737818,9.607094749852264,106477200
2011-01-05,9.883317947387695,9.9938082323116,9.513176862720101,9.562897385564513,112378000
2011-01-06,10.065629005432129,10.104301353610612,9.916468448741531,9.960664364374624,96284400
2011-01-07,10.09325122833252,10.17611843118126,9.9882855427435,10.17611843118126,99029500
2011-01-10,10.115346908569336,10.21478795628144,10.032479720047073,10.181641291615229,65348400
2011-01-11,10.098773956298828,10.214787807800942,10.015905715267653,10.2092631881513,61312500
2011-01-12,10.336332321166992,10.358430812683473,10.104304482528393,10.14297578896816,66841400
2011-01-13,10.319755554199219,10.479965341483608,10.247936537988481,10.39157351669629,100459700
2011-01-14,10.303183555603027,10.358428719516553,10.264512256977715,10.28108612226593,50279400
2011-01-18,10.330801010131836,10.369472287591467,10.281080495194228,10.308702535175884,39737500
2011-01-19,9.888846397399902,10.34185484437423,9.81702842198045,10.336330222616757,89216500
2011-01-20,9.822552680969238,9.944091194003416,9.584999222740501,9.8170280594158,93501600
2011-01-21,9.91646957397461,10.004861415270717,9.872273653326555,9.938567007441703,48717700
2011-01-24,9.905416488647461,9.960661631459606,9.805975442328288,9.960661631459606,51698600
2011-01-25,9.883317947387695,9.955136948702268,9.75625485732462,9.866745142248526,47155800
2011-01-26,10.1484956741333,10.181642342219789,9.888843788600667,9.927515076987167,66834100
2011-01-27,10.380522727966309,10.430242194952136,10.126395505090976,10.231361165868618,67711700
2011-01-28,8.988351821899414,9.877794622651564,8.82814099312904,9.828075147002869,480879500
2011-01-31,8.811568260192871,9.192758133218456,8.53534354653882,9.148562221182354,275198200
2011-02-01,8.778422355651855,8.971779355969081,8.756324397705404,8.916534197674515,178894300
2011-02-02,8.507722854614258,8.828143551290838,8.458002837701228,8.789472251406165,187008500
2011-02-03,8.706603050231934,8.717651764748345,8.341986514624269,8.49667220585183,153131300
2011-02-04,8.684505462646484,8.811568582686439,8.640309548992862,8.789470625859627,79198700
2011-02-07,8.89996337890625,9.038075778684613,8.728703771364001,8.750801734254258,118132900
2011-02-08,8.97177791595459,8.982827156582795,8.850239430185072,8.933106627469451,59674500
2011-02-09,8.888914108276367,9.00492801797132,8.850242805044715,8.911011544245602,61896700
2011-02-10,8.811568260192871,8.899960611121905,8.7839456834561,8.833666216210922,65334900
2011-02-11,9.049121856689453,9.120940877882827,8.833666900536814,8.87233819484998,94736400
2011-02-14,8.888914108276367,9.05464856604458,8.850242805044715,9.049123943623776,69632700
2011-02-15,8.894438743591309,8.927585424450207,8.811570987730077,8.855767440303596,51612800
2011-02-16,8.866813659667969,8.938632681557635,8.839191607380405,8.92758343915711,59843600
2011-02-17,8.822619438171387,8.8557666429026,8.745276311703186,8.84471739903988,53727600
2011-02-18,8.712125778198242,8.833664245758527,8.67345396865023,8.811566294669683,68774000
2011-02-22,8.41380500793457,8.574015856832029,8.330937799824795,8.485623500829577,97449900
2011-02-23,8.209399223327637,8.308840300020044,8.004992975459713,8.297791584196938,159528600
2011-02-24,8.121007919311523,8.28121826062895,8.010518119585182,8.049189417775171,120277400
2011-02-25,8.325411796569824,8.34750975018743,8.203873315101387,8.253593315598417,78341600
2011-02-28,8.314363479614258,8.446951207641602,8.22597166092936,8.446951207641602,54120000
2011-03-01,8.098907470703125,8.353034195413144,8.065760804399117,8.341985482264063,74337200
2011-03-02,8.098907470703125,8.225971096486516,8.076809517548199,8.098907470703125,67127000
2011-03-03,8.154152870178223,8.259118019208747,8.09890772214735,8.23149544519331,66720400
2011-03-04,7.966322422027588,8.170728688940349,7.88897929663211,8.170728688940349,81593400
2011-03-07,7.739816188812256,7.966320357589423,7.723242327543096,7.9221244479186,105389900
2011-03-08,7.993941307067871,8.038137207750284,7.739814614715643,7.745339234015118,106699200
2011-03-09,7.894503116607666,8.065762688710308,7.872405158290249,8.060238067416732,68046300
2011-03-10,7.7674407958984375,7.888979315857167,7.7398182134143845,7.7895387565142915,107127400
2011-03-11,7.93317174911499,7.988416889793491,7.662471718875095,7.6790450503359615,72249100
2011-03-14,7.900025367736816,8.087858220509716,7.8447802250894725,7.993941794123266,65056100
2011-03-15,8.104433059692383,8.176251547746878,7.596179549504278,7.623802125964749,108919700
2011-03-16,7.833732604980469,8.170726546919612,7.673522301192115,8.137579351337939,127862700
2011-03-17,7.877930641174316,8.054714327048059,7.83373471970588,8.04366561010942,78683000
2011-03-18,8.004993438720703,8.104434521167915,7.971846762476245,8.05471397994431,64541000
2011-03-21,8.060235023498535,8.132053492622378,7.999465265932452,8.121004254207932,46486600
2011-03-22,7.922123908996582,8.049187008942216,7.911074668902128,8.02156496241961,44731700
2011-03-23,7.905550956726074,7.982893533687782,7.745340655632377,7.877928382015411,64431300
2011-03-24,8.308838844299316,8.353034753562335,7.949746949823098,7.955271043338377,128201100
2011-03-25,8.292267799377441,8.397232981141803,8.231498012220811,8.397232981141803,58954600
2011-03-28,8.209399223327637,8.336462879863147,8.192825886164533,8.281217720176944,41259800
2011-03-29,8.19835090637207,8.253595541889155,8.137581122389289,8.192826284763287,33301800
2011-03-30,8.209399223327637,8.270169004353837,8.143105347818329,8.220448466007634,40889600
2011-03-31,8.237022399902344,8.259120360006335,8.126532599382388,8.187301857954132,41909100
2011-04-01,8.37513256072998,8.518769526734122,8.242544835275446,8.30331407772791,116247300
2011-04-04,8.59058952331543,8.695554692746594,8.502197690771949,8.502197690771949,99116600
2011-04-05,8.723175048828125,8.734224288508347,8.590587333805944,8.645831951636813,72322800
2011-04-06,8.690030097961426,8.828142468445417,8.623736223351935,8.789471173304102,62315800
